Nome, Mapa, Pontos, Duracao 
ivo,sexta-feira 13,80,13.767
joao,sexta-feira 13,80,80.0
joao carlos,sexta-feira 13,80,80.0
joao,mapa.json,80,80.0
conas,sexta-feira 13,70,70.0
joao,sexta-feira 13,60,60.0
mais amor,sexta-feira 13,55,55.0
joao,sexta-feira 13,40,40.0
